rev2_requirement,ksi,rev3_requirement(derived; CPRT-lint gated)
3.1.1,KSI-IAM-AAM,03.01.01
3.1.2,KSI-IAM-ELP,03.01.02
3.1.3,KSI-CNA-ULN,03.01.03
3.1.3,KSI-SCB-DFD,03.01.03
3.1.4,KSI-IAM-JIT,03.01.04
3.1.5,KSI-IAM-ELP,03.01.05
3.1.5,KSI-IAM-JIT,03.01.05
3.1.6,KSI-IAM-JIT,03.01.06
3.1.7,KSI-IAM-JIT,03.01.07
3.1.7,KSI-MLA-LET,03.01.07
3.1.8,KSI-IAM-SUS,03.01.08
3.1.9,KSI-SVC-ACM,03.01.09
3.1.10,KSI-IAM-ELP,03.01.10
3.1.11,KSI-IAM-ELP,03.01.11
3.1.12,KSI-CNA-RNT,03.01.12
3.1.12,KSI-MLA-LET,03.01.12
3.1.13,KSI-CUI-ENC,03.13.08 (absorbs 3.1.13)
3.1.14,KSI-CNA-ULN,03.01.12 (absorbs 3.1.14)
3.1.15,KSI-IAM-JIT,03.01.12 (absorbs 3.1.15)
3.1.16,KSI-CNA-MAT,03.01.16
3.1.17,KSI-CUI-ENC,03.01.16 (absorbs 3.1.17)
3.1.18,KSI-SVC-ACM,03.01.18
3.1.19,KSI-CUI-ENC,03.01.18 (absorbs 3.1.19)
3.1.20,KSI-SCB-CRM,03.01.20
3.1.21,KSI-MED-RMC,03.01.21
3.1.22,KSI-CUI-MRK,03.01.22
3.2.1,KSI-CED-RAT,03.02.01
3.2.2,KSI-CED-RAT,03.02.02
3.2.3,KSI-CED-CUI,03.02.03
3.3.1,KSI-MLA-LET,03.03.01
3.3.2,KSI-MLA-LET,03.03.02
3.3.3,KSI-MLA-RVL,03.03.03
3.3.4,KSI-MLA-OSM,03.03.04
3.3.5,KSI-MLA-OSM,03.03.05
3.3.6,KSI-MLA-OSM,03.03.06
3.3.7,KSI-MLA-OSM,03.03.07
3.3.8,KSI-MLA-ALA,03.03.08
3.3.9,KSI-MLA-ALA,03.03.09
3.4.1,KSI-PIY-GIV,03.04.01
3.4.1,KSI-SVC-ACM,03.04.01
3.4.2,KSI-SVC-ACM,03.04.02
3.4.3,KSI-CMT-LMC,03.04.03
3.4.4,KSI-CMT-VTD,03.04.04
3.4.5,KSI-CMT-RMV,03.04.05
3.4.6,KSI-CNA-DFP,03.04.06
3.4.7,KSI-CNA-RNT,03.04.07
3.4.8,KSI-CNA-DFP,03.04.08
3.4.9,KSI-CNA-DFP,03.04.09
3.5.1,KSI-IAM-AAM,03.05.01
3.5.2,KSI-IAM-APM,03.05.02
3.5.3,KSI-IAM-APM,03.05.03
3.5.4,KSI-IAM-APM,03.05.04
3.5.5,KSI-IAM-AAM,03.05.05
3.5.6,KSI-IAM-AAM,03.05.06
3.5.7,KSI-IAM-APM,03.05.07
3.5.8,KSI-IAM-APM,03.05.08
3.5.9,KSI-IAM-APM,03.05.09
3.5.10,KSI-IAM-APM,03.05.10
3.5.10,KSI-SVC-ASM,03.05.10
3.5.11,KSI-IAM-APM,03.05.11
3.6.1,KSI-INR-RIR,03.06.01
3.6.2,KSI-INR-RIR,03.06.02
3.6.3,KSI-INR-AAR,03.06.03
3.7.1,KSI-SVC-EIS,03.07.01
3.7.2,KSI-SVC-EIS,03.07.02
3.7.3,KSI-MED-SAN,03.07.03
3.7.4,KSI-MED-RMC,03.07.04
3.7.5,KSI-IAM-APM,03.07.05
3.7.6,KSI-PHY-MEV,03.07.06
3.8.1,KSI-MED-PPR,03.08.01
3.8.2,KSI-MED-PPR,03.08.02
3.8.3,KSI-MED-SAN,03.08.03
3.8.4,KSI-CUI-MRK,03.08.04
3.8.5,KSI-MED-TRN,03.08.05
3.8.6,KSI-CUI-ENC,03.08.06
3.8.6,KSI-MED-TRN,03.08.06
3.8.7,KSI-MED-RMC,03.08.07
3.8.8,KSI-MED-RMC,03.08.08
3.8.9,KSI-CUI-ENC,03.08.09
3.8.9,KSI-RPL-ABO,03.08.09
3.9.1,KSI-PER-SCR,03.09.01
3.9.2,KSI-IAM-AAM,03.09.02
3.9.2,KSI-PER-SCR,03.09.02
3.10.1,KSI-PHY-LPA,03.10.01
3.10.2,KSI-PHY-LPA,03.10.02
3.10.3,KSI-PHY-MEV,03.10.03
3.10.4,KSI-PHY-MEV,03.10.04
3.10.5,KSI-PHY-LPA,03.10.05
3.10.6,KSI-PHY-LPA,03.10.06
3.11.1,KSI-PIY-RIS,03.11.01
3.11.2,KSI-MLA-EVC,03.11.02
3.11.3,KSI-SVC-EIS,03.11.03
3.12.1,KSI-PIY-RIS,03.12.01
3.12.2,KSI-PIY-RIS,03.12.02
3.12.3,KSI-CNA-EIS,03.12.03
3.12.4,KSI-SCB-DFD,03.12.04
3.13.1,KSI-CNA-RNT,03.13.01
3.13.2,KSI-SCB-SEP,03.13.02
3.13.3,KSI-CNA-DFP,03.13.03
3.13.4,KSI-SVC-PRR,03.13.04
3.13.5,KSI-SCB-SEP,03.13.05
3.13.6,KSI-CNA-RNT,03.13.06
3.13.7,KSI-CNA-RNT,03.13.07
3.13.8,KSI-CUI-ENC,03.13.08
3.13.8,KSI-SVC-SIN,03.13.08
3.13.9,KSI-CNA-ULN,03.13.09
3.13.10,KSI-SVC-ASM,03.13.10
3.13.11,KSI-CUI-ENC,03.13.11
3.13.12,KSI-SVC-ACM,03.13.12
3.13.13,KSI-CNA-DFP,03.13.13
3.13.14,KSI-SVC-ACM,03.13.14
3.13.15,KSI-SVC-VCM,03.13.15
3.13.16,KSI-CUI-ENC,03.13.16
3.13.16,KSI-SVC-SIN,03.13.16
3.14.1,KSI-SVC-EIS,03.14.01
